08:56:49.523 [background-preinit] INFO  o.h.validator.internal.util.Version -- HV000001: Hibernate Validator 8.0.1.Final
08:56:49.892 [main] INFO  c.hn.api.diary.DiaryApiApplication -- Starting DiaryApiApplication using Java 17.0.6 with PID 24752 (D:\JavaProject\diary-api\out\production\classes started by nami0 in D:\JavaProject\diary-api)
08:56:49.903 [main] INFO  c.hn.api.diary.DiaryApiApplication -- No active profile set, falling back to 1 default profile: "default"
08:56:54.533 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode.
08:56:54.828 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 274 ms. Found 3 JPA repository interfaces.
08:57:00.890 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8080 (http)
08:57:00.920 [main] INFO  o.a.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8080"]
08:57:00.927 [main] INFO  o.a.catalina.core.StandardService -- Starting service [Tomcat]
08:57:00.927 [main] INFO  o.a.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/10.1.13]
08:57:01.364 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext
08:57:01.366 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 11078 ms
08:57:01.626 [main] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Starting...
08:57:03.027 [main] INFO  com.zaxxer.hikari.pool.HikariPool -- HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:diary member=SA
08:57:03.038 [main] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Start completed.
08:57:03.183 [main] INFO  o.h.jpa.internal.util.LogHelper -- HHH000204: Processing PersistenceUnitInfo [name: default]
08:57:03.446 [main] INFO  org.hibernate.Version -- HHH000412: Hibernate ORM core version 6.2.9.Final
08:57:03.453 [main] INFO  org.hibernate.cfg.Environment -- HHH000406: Using bytecode reflection optimizer
08:57:04.280 [main] INFO  o.h.b.i.BytecodeProviderInitiator -- HHH000021: Bytecode provider name : bytebuddy
08:57:06.074 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo -- No LoadTimeWeaver setup: ignoring JPA class transformer
08:57:07.495 [main] INFO  o.h.b.i.BytecodeProviderInitiator -- HHH000021: Bytecode provider name : bytebuddy
08:57:08.928 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator -- HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
08:57:09.011 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default'
08:57:10.000 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer -- Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.hn.api.diary.repository.MemberRepository
08:57:10.641 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration -- H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:diary'
08:57:11.031 [main] INFO  o.s.b.web.servlet.RegistrationBean -- Filter registration was not registered (disabled)
08:57:11.559 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory -- Hibernate is in classpath; If applicable, HQL parser will be used.
08:57:14.051 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
08:57:14.503 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping -- Adding welcome page: class path resource [static/index.html]
08:57:15.102 [main] INFO  o.s.s.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5f386009, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5112858c, org.springframework.security.web.context.SecurityContextHolderFilter@7a80b2e6, org.springframework.security.web.header.HeaderWriterFilter@4e41b993, org.springframework.web.filter.CorsFilter@1786e49f, org.springframework.security.web.authentication.logout.LogoutFilter@6dde03ce, com.hn.api.diary.filter.AccessFilter@74b521c, com.hn.api.diary.filter.SignInFilter@5315210d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1e5f3c4a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7b57587e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3bfbe2a6, org.springframework.security.web.access.ExceptionTranslationFilter@29aa29f5, org.springframework.security.web.access.intercept.AuthorizationFilter@26f50a28]
08:57:15.160 [main] WARN  o.s.s.c.a.web.builders.WebSecurity -- You are asking Spring Security to ignore Ant [pattern='/favicon.ico']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
08:57:15.167 [main] INFO  o.s.s.web.DefaultSecurityFilterChain -- Will not secure Ant [pattern='/favicon.ico']
08:57:15.168 [main] WARN  o.s.s.c.a.web.builders.WebSecurity -- You are asking Spring Security to ignore Ant [pattern='/error']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
08:57:15.168 [main] INFO  o.s.s.web.DefaultSecurityFilterChain -- Will not secure Ant [pattern='/error']
08:57:15.168 [main] WARN  o.s.s.c.a.web.builders.WebSecurity -- You are asking Spring Security to ignore org.springframework.boot.autoconfigure.security.servlet.PathRequest$H2ConsoleRequestMatcher@5fe80760. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
08:57:15.168 [main] INFO  o.s.s.web.DefaultSecurityFilterChain -- Will not secure org.springframework.boot.autoconfigure.security.servlet.PathRequest$H2ConsoleRequestMatcher@5fe80760
08:57:16.253 [main] INFO  o.a.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8080"]
08:57:16.363 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -- Tomcat started on port(s): 8080 (http) with context path ''
08:57:16.384 [main] INFO  c.hn.api.diary.DiaryApiApplication -- Started DiaryApiApplication in 28.736 seconds (process running for 32.549)
08:57:19.945 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default'
08:57:20.098 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown initiated...
08:57:20.105 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-1 - Shutdown completed.
